date,window_start,window_end,window,stride,B,ci_level,alpha_qv,FBM_cov_md,rf_factor,band_type,H_stock,H_stock_lo,H_stock_hi,H_vol,H_vol_lo,H_vol_hi,H_rate,H_rate_lo,H_rate_hi,S_H11,S_H11_lo,S_H11_hi,S_H12,S_H12_lo,S_H12_hi,S_H13,S_H13_lo,S_H13_hi,S_H22,S_H22_lo,S_H22_hi,S_H23,S_H23_lo,S_H23_hi,S_H33,S_H33_lo,S_H33_hi
2015-12-02,2014-12-01,2015-12-02,252,5,100,0.9,0.2,1,0.7,percentile,0.592405930388115,0.49304367718308334,0.6892467512192795,0.6154938719198924,0.5004586367488412,0.7168932129393847,0.4206602703162461,0.30937156723218,0.5201585597187696,1.18481186077623,0.9860873543661667,1.378493502438559,1.2078998023080074,1.0669687930148561,1.3687986093468065,1.013066200704361,0.8973290829780746,1.161429528553676,1.2309877438397847,1.0009172734976823,1.4337864258787694,1.0361541422361384,0.8838474155407651,1.221440586951408,0.8413205406324922,0.61874313446436,1.0403171194375391
2015-12-09,2014-12-08,2015-12-09,252,5,100,0.9,0.2,1,0.7,percentile,0.5869846080494718,0.4740680160809402,0.6754282264820943,0.6037078411361507,0.4981831283138851,0.69035804038663,0.42254786257186644,0.33765472236981636,0.5002197815568742,1.1739692160989437,0.9481360321618804,1.3508564529641887,1.1906924491856226,1.0541675998373081,1.3270694225477058,1.0095324706213382,0.8722664404760228,1.1399887328535174,1.2074156822723014,0.9963662566277702,1.38071608077326,1.026255703708017,0.8858722531102308,1.1550840693324733,0.8450957251437329,0.6753094447396327,1.0004395631137484
2015-12-16,2014-12-15,2015-12-16,252,5,100,0.9,0.2,1,0.7,percentile,0.563246850714598,0.4342485240483349,0.6527705429858583,0.5821476974976918,0.4869699292025011,0.6847876426558919,0.4107952568456344,0.29470478046618975,0.48799842550715244,1.126493701429196,0.8684970480966698,1.3055410859717167,1.1453945482122898,0.9928792044748119,1.254817934138585,0.9740421075602324,0.8144966230964309,1.083262784716645,1.1642953949953836,0.9739398584050022,1.3695752853117837,0.9929429543433261,0.8375611080009459,1.1056584235238165,0.8215905136912688,0.5894095609323795,0.9759968510143049
2015-12-23,2014-12-22,2015-12-23,252,5,100,0.9,0.2,1,0.7,percentile,0.5494595087643962,0.4255938543523994,0.6124684960390833,0.5692962732803571,0.47175202120045495,0.6779808743476551,0.40711018157915546,0.32103535545841916,0.4936030139775145,1.0989190175287924,0.8511877087047988,1.2249369920781665,1.1187557820447533,0.9833736099056659,1.2313814332926858,0.9565696903435517,0.820816140034775,1.072912327654569,1.1385925465607143,0.9435040424009099,1.3559617486953102,0.9764064548595126,0.8528345459813745,1.1056113034141128,0.8142203631583109,0.6420707109168383,0.987206027955029
2015-12-31,2014-12-30,2015-12-31,252,5,100,0.9,0.2,1,0.7,percentile,0.5326738573981323,0.410869175081975,0.6050506899471737,0.550287343072027,0.41824342809029863,0.642025190838816,0.39340472877144916,0.29867245669141457,0.4837842779538555,1.0653477147962647,0.82173835016395,1.2101013798943474,1.0829612004701592,0.8812275067395776,1.1690436111732803,0.9260785861695815,0.7663847341736131,1.0452916861588448,1.100574686144054,0.8364868561805973,1.284050381677632,0.9436920718434761,0.7719011501642858,1.0599237379843967,0.7868094575428983,0.5973449133828291,0.967568555907711
2016-01-08,2015-01-07,2016-01-08,252,5,100,0.9,0.2,1,0.7,percentile,0.5424328797438241,0.43906666696910845,0.6341881503242336,0.5576410441566821,0.43971040999907984,0.6386112665872696,0.3948398078911862,0.30942393243137584,0.49533087919646057,1.0848657594876483,0.8781333339382169,1.2683763006484672,1.1000739239005064,0.9315209825727007,1.2114033409557516,0.9372726876350104,0.8133990957384977,1.07630759729036,1.1152820883133643,0.8794208199981597,1.2772225331745393,0.9524808520478684,0.8170677556537531,1.0765732375182027,0.7896796157823724,0.6188478648627517,0.9906617583929211
2016-01-15,2015-01-14,2016-01-15,252,5,100,0.9,0.2,1,0.7,percentile,0.5373855772928747,0.4435245089855255,0.6345511349941635,0.5444397691695974,0.4347851888789019,0.6253478537018821,0.38694872505532324,0.29743110029996916,0.4685487175018073,1.0747711545857495,0.887049017971051,1.269102269988327,1.081825346462472,0.9388411477989578,1.2171747191470779,0.924334302348198,0.8078658532552854,1.047263528452033,1.0888795383391947,0.8695703777578038,1.2506957074037641,0.9313884942249206,0.7889446179723567,1.0483509019044885,0.7738974501106465,0.5948622005999383,0.9370974350036146
2016-01-25,2015-01-22,2016-01-25,252,5,100,0.9,0.2,1,0.7,percentile,0.53023571424654,0.434801066615125,0.636662260122381,0.5250821971390346,0.4360589946348096,0.6274930025340912,0.38273994134217776,0.297858711833634,0.4859044882524061,1.06047142849308,0.86960213323025,1.273324520244762,1.0553179113855746,0.9115480584405468,1.1951032615461918,0.9129756555887178,0.7639121214325001,1.050443954138862,1.0501643942780692,0.8721179892696193,1.2549860050681825,0.9078221384812124,0.7770772033759284,1.0239953754363524,0.7654798826843555,0.595717423667268,0.9718089765048122
2016-02-01,2015-01-29,2016-02-01,252,5,100,0.9,0.2,1,0.7,percentile,0.5118763400035008,0.3971829459713436,0.5808538166953587,0.5256714576992688,0.40845201048193697,0.6233351157690329,0.3674121390958691,0.2937729804154858,0.4475684741897738,1.0237526800070016,0.7943658919426873,1.1617076333907175,1.0375477977027696,0.8808565654564902,1.1513797182900654,0.8792884790993699,0.7550554120425823,0.992993212106456,1.0513429153985376,0.8169040209638739,1.2466702315380658,0.8930835967951379,0.7389306614242976,1.0041174191994762,0.7348242781917382,0.5875459608309715,0.8951369483795476
2016-02-08,2015-02-05,2016-02-08,252,5,100,0.9,0.2,1,0.7,percentile,0.5146829304755627,0.414414788450955,0.6309407636500757,0.5291345674572274,0.41592341223798723,0.6338065389015413,0.3693200753387672,0.2845129378311618,0.4463507422071689,1.0293658609511254,0.82882957690191,1.2618815273001514,1.04381749793279,0.8782213877555259,1.1767150102942439,0.8840030058143299,0.7328186380338864,1.0420882318818319,1.0582691349144548,0.8318468244759745,1.2676130778030825,0.8984546427959946,0.7569894647536064,1.012326456687866,0.7386401506775344,0.5690258756623237,0.8927014844143378
