date,window_start,window_end,window,stride,B,ci_level,alpha_qv,FBM_cov_md,rf_factor,band_type,H_price,H_price_lo,H_price_hi,H_vol,H_vol_lo,H_vol_hi,H_interest,H_interest_lo,H_interest_hi,S_H11,S_H11_lo,S_H11_hi,S_H12,S_H12_lo,S_H12_hi,S_H13,S_H13_lo,S_H13_hi,S_H22,S_H22_lo,S_H22_hi,S_H23,S_H23_lo,S_H23_hi,S_H33,S_H33_lo,S_H33_hi
2015-12-10,2014-12-01,2015-12-10,252,5,100,0.9,0.2,1,0.7,percentile,0.5361034148306141,0.4426742223364988,0.6317240377799312,0.5390303999756856,0.4539580884735155,0.6304942092752716,0.38382247800834146,0.28644251668873616,0.4669057143905938,1.0722068296612282,0.8853484446729976,1.2634480755598625,1.0751338148062997,0.9679448253822148,1.2096205999741254,0.9199258928389555,0.8120311643477568,1.0301924710828927,1.0780607999513712,0.907916176947031,1.260988418550543,0.922852877984027,0.7883945184554909,1.054740367972775,0.7676449560166829,0.5728850333774723,0.9338114287811876
2015-12-17,2014-12-08,2015-12-17,252,5,100,0.9,0.2,1,0.7,percentile,0.5237772684292277,0.41902608758140003,0.6179844141196162,0.5295129791046483,0.44540992201868707,0.6238220215723235,0.38318903290004364,0.2961647164613021,0.47604640829814,1.0475545368584553,0.8380521751628001,1.2359688282392325,1.0532902475338761,0.9146017152644981,1.2174862524004402,0.9069663013292713,0.761049003064797,1.0338705243741575,1.0590259582092967,0.8908198440373741,1.247644043144647,0.912702012004692,0.7962283099216638,1.0270277385408768,0.7663780658000873,0.5923294329226042,0.95209281659628
2015-12-25,2014-12-15,2015-12-25,252,5,100,0.9,0.2,1,0.7,percentile,0.502925522933948,0.37124144646093776,0.6233873417795113,0.5321137588950294,0.4316198086533486,0.6162120296561848,0.383137422489741,0.28841890685794563,0.4903249266595113,1.005851045867896,0.7424828929218755,1.2467746835590225,1.0350392818289773,0.8662032127384917,1.1677567114177922,0.886062945423689,0.7465609048601284,1.0287879892798764,1.0642275177900589,0.8632396173066972,1.2324240593123696,0.9152511813847704,0.7682280102024227,1.0477452160949916,0.766274844979482,0.5768378137158913,0.9806498533190225
2016-01-05,2014-12-22,2016-01-05,252,5,100,0.9,0.2,1,0.7,percentile,0.4757905425327771,0.37829887342824847,0.582604260277444,0.5181095118180309,0.42302997996117375,0.6112861662275852,0.38061007795720375,0.3039393026263521,0.4888871359295914,0.9515810850655542,0.7565977468564969,1.165208520554888,0.993900054350808,0.875687765894191,1.1389958866870782,0.8564006204899808,0.7319201150785559,0.9901202892240409,1.0362190236360618,0.8460599599223475,1.2225723324551705,0.8987195897752347,0.7696056553270535,1.0474647577617646,0.7612201559144075,0.6078786052527042,0.9777742718591828
2016-01-13,2014-12-30,2016-01-13,252,5,100,0.9,0.2,1,0.7,percentile,0.47081458300007234,0.34480133814355274,0.5575448724123947,0.5228044278701083,0.4291558711392982,0.618346327173892,0.38218642466555197,0.28913994634130724,0.4905417531477189,0.9416291660001447,0.6896026762871055,1.1150897448247894,0.9936190108701806,0.8293513343180906,1.1213969679549642,0.8530010076656243,0.6944968262015009,0.9842220097945057,1.0456088557402166,0.8583117422785964,1.236692654347784,0.9049908525356603,0.7472358298714978,1.0388467237134957,0.7643728493311039,0.5782798926826145,0.9810835062954378
2016-01-20,2015-01-09,2016-01-20,252,5,100,0.9,0.2,1,0.7,percentile,0.4778760466343137,0.37600160675856253,0.5788827022335659,0.5218985888094861,0.40781230668322915,0.6075279951526305,0.3868593368828961,0.287599145160352,0.48799455401247793,0.9557520932686274,0.7520032135171251,1.1577654044671317,0.9997746354437999,0.8444116050658089,1.1671804773290324,0.8647353835172098,0.7146942891509905,1.0403983336470142,1.0437971776189723,0.8156246133664583,1.215055990305261,0.9087579256923822,0.7655143738330753,1.048759192142742,0.7737186737657922,0.575198290320704,0.9759891080249559
2016-01-27,2015-01-19,2016-01-27,252,5,100,0.9,0.2,1,0.7,percentile,0.48165610777633,0.3580115199658113,0.5872472430459099,0.5131695334091174,0.4173180773546638,0.6248429461738079,0.3784163031387995,0.2636451741497245,0.4746225744205355,0.96331221555266,0.7160230399316226,1.1744944860918198,0.9948256411854475,0.8258195008540277,1.1445351310474141,0.8600724109151294,0.6771725076459816,1.0121523352580264,1.0263390668182348,0.8346361547093276,1.2496858923476157,0.8915858365479169,0.7145084014673128,1.025399069107642,0.756832606277599,0.527290348299449,0.949245148841071
2016-02-03,2015-01-26,2016-02-03,252,5,100,0.9,0.2,1,0.7,percentile,0.47640737589333343,0.37518509189680455,0.5740917377461846,0.5037698051409651,0.4055916959479995,0.5897777043050239,0.502787419442882,0.4128848046188015,0.5752982730455003,0.9528147517866669,0.7503701837936091,1.1481834754923692,0.9801771810342985,0.8301234492691878,1.1514196899151756,0.9791947953362155,0.8334213844914291,1.101727693702663,1.0075396102819303,0.811183391895999,1.1795554086100477,1.006557224583847,0.9000586030241603,1.1165258296189167,1.005574838885764,0.825769609237603,1.1505965460910006
2016-02-10,2015-02-02,2016-02-10,252,5,100,0.9,0.2,1,0.7,percentile,0.48069039624107746,0.4012821286004918,0.578302337717376,0.5131666906521927,0.4027587154027764,0.6147769985301397,0.48308351227755375,0.3793511957729863,0.5533066371480454,0.9613807924821549,0.8025642572009836,1.156604675434752,0.9938570868932701,0.8683886442729483,1.1163878718029852,0.9637739085186312,0.8198338487801011,1.0840439050239599,1.0263333813043853,0.8055174308055528,1.2295539970602793,0.9962502029297464,0.8750912886865324,1.129391283447662,0.9661670245551075,0.7587023915459726,1.1066132742960908
2016-02-18,2015-02-09,2016-02-18,252,5,100,0.9,0.2,1,0.7,percentile,0.49726456996638363,0.3684979987646194,0.5796461915353017,0.5187379184246271,0.4190355444454205,0.5976745587059368,0.5046567059639454,0.41304825357118524,0.6069394429493489,0.9945291399327673,0.7369959975292388,1.1592923830706034,1.0160024883910108,0.8276866809344273,1.1305837805384609,1.001921275930329,0.865136728396763,1.1299273924181927,1.0374758368492543,0.838071088890841,1.1953491174118736,1.0233946243885725,0.8665536066344777,1.1602633282109123,1.0093134119278908,0.8260965071423705,1.2138788858986977
